ID,AssistsTotal,BlocksTotal,DefensiveReboundsTotal,DoubleDoubles,Efficiency,FieldGoals2PointsAttemptedTotal,FieldGoals2PointsMadeTotal,FieldGoals3PointsAttemptedTotal,FieldGoals3PointsMadeTotal,FreeThrowsAttemptedTotal,FreeThrowsMadeTotal,GamesPlayedTotal,LastName,MinutesTotal,OffensiveReboundsTotal,OfficialName,PersonalFoulsTotal,PlayerId,PlayerLink,PlusMinus,PointsTotal,Position,SecondsTotal,ShirtNumber,StealsTotal,TripleDoubles,TurnOversTotal,Country,FullName
190,15,1,8,0,39.0,14,9,10,2,5,5,5,Luz,99,3,Rafa Luz (BRA),11,157773,/basketballworldcup/2019/player/Rafa-Luz,6,29,Point Guard,5958,N/A,4,0,8,BRA,Rafa Luz
191,18,1,8,0,38.0,15,11,3,0,10,4,5,Park,86,2,Chan Hee Park (KOR),5,192449,/basketballworldcup/2019/player/Chan-Hee-Park,-27,26,Guard,5184,N/A,7,0,11,KOR,Chan Hee Park
192,19,0,10,0,23.0,31,7,19,4,9,7,5,Kim,121,5,Sunhyung Kim (KOR),7,161287,/basketballworldcup/2019/player/Sunhyung-Kim,-47,33,Guard,7295,N/A,4,0,7,KOR,Sunhyung Kim
193,6,4,8,0,17.0,4,1,11,3,6,3,5,Choi,83,4,Junyong Choi (KOR),10,197028,/basketballworldcup/2019/player/Junyong-Choi,-33,14,Forward,4991,N/A,0,0,5,KOR,Junyong Choi
194,16,1,15,0,37.0,7,3,28,9,10,7,4,Lee,103,1,Junghyun Lee (KOR),13,192453,/basketballworldcup/2019/player/Junghyun-Lee,-62,40,Guard,6231,N/A,1,0,11,KOR,Junghyun Lee
195,4,0,1,0,13.0,11,3,9,4,4,3,5,Heo,44,1,Hoon Heo (KOR),2,195608,/basketballworldcup/2019/player/Hoon-Heo,2,21,Guard,2666,N/A,2,0,2,KOR,Hoon Heo
196,9,6,38,5,132.0,84,42,7,3,33,22,5,RA,180,26,Guna RA (KOR),9,199177,/basketballworldcup/2019/player/Guna-RA,-71,115,Center,10838,N/A,7,0,12,KOR,Guna RA
197,6,1,9,0,18.0,1,0,9,2,2,2,4,Yang,55,2,Heejong Yang (KOR),10,143508,/basketballworldcup/2019/player/Heejong-Yang,4,8,Forward,3329,N/A,3,0,3,KOR,Heejong Yang
198,0,0,7,0,14.0,4,3,4,2,0,0,5,Kang,48,1,Sangjae Kang (KOR),3,197030,/basketballworldcup/2019/player/Sangjae-Kang,0,12,Center,2922,N/A,0,0,3,KOR,Sangjae Kang
199,7,2,19,0,48.0,23,13,16,5,6,5,5,Lee,145,5,Seounghyun Lee (KOR),7,181058,/basketballworldcup/2019/player/Seounghyun-Lee,-61,46,Center,8717,N/A,1,0,10,KOR,Seounghyun Lee
200,1,1,8,0,9.0,8,2,10,2,2,2,4,Jeong,58,1,Hyogeun Jeong (KOR),4,188688,/basketballworldcup/2019/player/Hyogeun-Jeong,-39,12,Forward,3532,N/A,1,0,1,KOR,Hyogeun Jeong
201,8,0,7,0,29.0,17,4,30,11,12,12,5,Kulagin,104,0,Mikhail Kulagin (RUS),11,183348,/basketballworldcup/2019/player/Mikhail-Kulagin,19,53,Point Guard,6284,N/A,3,0,10,RUS,Mikhail Kulagin
202,2,1,2,0,15.0,7,4,0,0,4,2,4,Valiev,30,4,Evgeny Valiev (RUS),3,156392,/basketballworldcup/2019/player/Evgeny-Valiev,4,10,Power Forward,1817,N/A,1,0,0,RUS,Evgeny Valiev
203,18,1,26,0,66.0,23,12,9,3,23,15,5,Kurbanov,138,5,Nikita Kurbanov (RUS),17,143953,/basketballworldcup/2019/player/Nikita-Kurbanov,26,48,Small Forward,8297,N/A,2,0,9,RUS,Nikita Kurbanov
204,12,6,16,0,53.0,30,16,12,2,11,9,5,Zubkov,114,5,Andrey Zubkov (RUS),14,188754,/basketballworldcup/2019/player/Andrey-Zubkov,-11,47,Power Forward,6864,N/A,3,0,10,RUS,Andrey Zubkov
205,6,0,5,0,19.0,6,2,9,3,9,7,5,Karasev,66,1,Sergey Karasev (RUS),7,169041,/basketballworldcup/2019/player/Sergey-Karasev,-19,20,Shooting Guard,4013,N/A,5,0,6,RUS,Sergey Karasev
206,5,2,13,0,37.0,16,10,7,0,14,10,5,Antonov,66,6,Semen Antonov (RUS),5,160983,/basketballworldcup/2019/player/Semen-Antonov,-32,30,Power Forward,4005,N/A,2,0,4,RUS,Semen Antonov
